iter	Passed	Remaining
0	2	847
1	5	816
2	8	802
3	10	794
4	13	772
5	15	759
6	17	752
7	21	772
8	23	768
9	26	765
10	29	762
11	31	756
12	34	760
13	37	761
14	40	761
15	42	759
16	45	758
17	48	754
18	50	750
19	54	757
20	57	761
21	59	756
22	62	752
23	65	750
24	69	763
25	72	761
26	74	754
27	77	749
28	79	744
29	82	741
30	85	738
31	89	750
32	93	756
33	96	751
34	98	747
35	101	743
36	103	738
37	106	733
38	109	730
39	111	727
40	114	723
41	117	719
42	119	716
43	122	712
44	125	710
45	128	709
46	131	709
47	134	705
48	137	703
49	139	699
50	142	695
51	144	691
52	147	688
53	150	684
54	152	681
55	156	679
56	158	676
57	161	673
58	164	670
59	166	667
60	169	664
61	172	663
62	175	659
63	178	657
64	181	655
65	183	651
66	186	648
67	189	647
68	192	644
69	196	644
70	199	644
71	202	641
72	205	637
73	207	634
74	210	631
75	212	627
76	215	623
77	218	620
78	220	617
79	223	614
80	226	611
81	229	608
82	231	605
83	234	602
84	237	599
85	239	597
86	242	594
87	245	590
88	247	587
89	250	584
90	253	581
91	255	578
92	258	574
93	261	572
94	263	569
95	266	566
96	269	563
97	271	559
98	274	556
99	276	553
100	279	550
101	281	547
102	284	544
103	287	541
104	289	538
105	292	535
106	295	532
107	297	529
108	300	526
109	303	524
110	306	521
111	308	518
112	312	517
113	314	513
114	318	512
115	321	510
116	324	507
117	326	504
118	329	501
119	332	498
120	334	494
121	337	492
122	340	489
123	342	486
124	345	484
125	348	481
126	350	477
127	353	474
128	356	472
129	359	469
130	361	466
131	364	463
132	366	460
133	369	457
134	372	454
135	374	451
136	377	448
137	379	445
138	382	443
139	386	441
140	389	439
141	391	436
142	395	433
143	397	430
144	400	427
145	402	424
146	405	422
147	408	419
148	411	417
149	414	414
150	416	411
151	419	408
152	422	405
153	425	403
154	427	400
155	430	397
156	433	394
157	436	392
158	439	389
159	443	388
160	447	386
161	450	383
162	454	381
163	456	378
164	460	377
165	463	374
166	466	371
167	469	369
168	472	366
169	475	363
170	478	360
171	480	357
172	483	354
173	486	352
174	491	350
175	494	348
176	497	345
177	500	342
178	502	339
179	505	337
180	508	334
181	511	331
182	514	329
183	517	326
184	520	323
185	523	320
186	525	317
187	529	315
188	532	312
189	535	310
190	538	307
191	540	304
192	543	301
193	546	298
194	549	295
195	551	292
196	554	289
197	557	287
198	561	284
199	564	282
200	567	279
201	570	276
202	572	273
203	575	270
204	577	267
205	580	264
206	583	262
207	585	259
208	588	256
209	591	253
210	593	250
211	596	247
212	600	245
213	602	242
214	606	239
215	608	236
216	611	233
217	613	230
218	616	228
219	619	225
220	622	222
221	624	219
222	627	216
223	629	213
224	632	210
225	635	208
226	638	205
227	641	202
228	644	199
229	646	196
230	649	193
231	652	191
232	655	188
233	658	185
234	660	182
235	663	179
236	666	177
237	669	174
238	671	171
239	674	168
240	677	165
241	679	162
242	682	160
243	685	157
244	687	154
245	690	151
246	692	148
247	695	145
248	697	142
249	700	140
250	703	137
251	706	134
252	709	131
253	711	128
254	714	126
255	716	123
256	719	120
257	721	117
258	724	114
259	726	111
260	730	109
261	732	106
262	735	103
263	738	100
264	740	97
265	743	95
266	746	92
267	749	89
268	752	86
269	754	83
270	757	81
271	760	78
272	762	75
273	765	72
274	768	69
275	770	67
276	773	64
277	776	61
278	779	58
279	782	55
280	785	53
281	787	50
282	791	47
283	794	44
284	796	41
285	798	39
286	801	36
287	804	33
288	807	30
289	810	27
290	812	25
291	815	22
292	818	19
293	820	16
294	823	13
295	826	11
296	828	8
297	832	5
298	834	2
299	837	0
